year,id,question,score,status,H,C,T,D,B,band,K,R,A,V,P,I,mark
2023,1,1,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2023,2,2,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2023,3,3,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2023,4,4,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2023,5,5,4,已核验（数学推导；非官方真伪认证）,8,2,10,6,0,基础,0,0,0,0,1,0,
2023,6,6,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2023,7,7,5,已核验（数学推导；非官方真伪认证）,8,2,0,4,0,基础,0,0,1,0,0,0,
2023,8,8,5,已核验（数学推导；非官方真伪认证）,8,5,10,7,0,基础,0,0,1,0,1,0,
2023,9,9,5,已核验（数学推导；非官方真伪认证）,20,6,10,13,1,基础,0,1,0,1,0,0,
2023,10,10,5,已核验（数学推导；非官方真伪认证）,30,21,30,27,1,基础,1,1,1,0,1,0,
2023,11,11,5,已核验（数学推导；非官方真伪认证）,43,30,40,38,1,中档,1,1,1,1,1,1,
2023,12,12,5,已核验（数学推导；非官方真伪认证）,65,40,70,57,2,中档,1,2,1,1,2,0,
2023,13,13,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2023,14,14,4,已核验（数学推导；非官方真伪认证）,8,2,10,6,0,基础,0,0,0,1,0,0,
2023,15,15,5,已核验（数学推导；非官方真伪认证）,75,33,70,59,2,中档,2,2,1,1,2,0,规则分可能低估，需教师复核
2023,16,16,5,已核验（数学推导；非官方真伪认证）,85,37,90,69,3,难题,2,2,1,1,2,2,规则分可能低估，需教师复核
2023,17(1),17,,已核验（数学推导；非官方真伪认证）,30,16,20,23,1,基础,1,1,0,1,1,0,
2023,17(2),17,,已核验（数学推导；非官方真伪认证）,55,24,50,43,1,中档,1,2,1,1,0,1,
2023,18(1),18,,已核验（数学推导；非官方真伪认证）,20,11,10,15,0,基础,0,1,0,0,1,0,
2023,18(2),18,,已核验（数学推导；非官方真伪认证）,58,43,70,55,2,中档,1,2,1,0,2,0,
2023,19(1),19,,已核验（数学推导；非官方真伪认证）,20,11,20,17,0,基础,0,1,0,1,0,0,
2023,19(2),19,,已核验（数学推导；非官方真伪认证）,45,37,50,43,1,中档,1,1,1,1,1,0,规则分可能低估，需教师复核
2023,20(1),20,,已核验（数学推导；非官方真伪认证）,8,2,10,6,0,基础,0,0,0,1,0,0,
2023,20(2),20,,已核验（数学推导；非官方真伪认证）,30,14,10,20,1,基础,1,1,1,1,0,0,
2023,20(3),20,,答案冲突／待核验,,,,,,待复核,,,,,,,冲突单元，剔除有效均值
